product_id,brand,price,cost
4554,runail,0.38,0.32
4600,runail,0.38,0.2
4607,runail,0.38,0.19
4640,runail,0.37,0.35
4689,runail,0.38,0.26
4768,runail,0.38,0.26
4820,runail,0.38,0.27
4870,runail,0.38,0.28
5811642,irisk,0.79,0.53
5887055,jessnail,1.1,0.88
5894905,jessnail,1.1,0.9
5894906,jessnail,1.1,1.09
5894907,jessnail,1.1,0.94
5894908,jessnail,1.1,0.71
5894910,jessnail,1.1,0.7
5894911,jessnail,1.1,0.87
5894913,jessnail,1.1,0.64
5894916,jessnail,1.1,1.06
5894917,jessnail,1.1,0.71
5894918,jessnail,1.1,0.68
5894920,jessnail,1.1,0.68
5836492,nagaraku,4.76,2.9
5836493,nagaraku,4.76,4.43
5836494,nagaraku,4.76,3.74
5836495,nagaraku,4.76,3.96
5836500,nagaraku,4.76,2.88
5836501,nagaraku,4.76,3.71
5836504,nagaraku,4.76,4.09
5836519,nagaraku,2.38,1.53
5836527,nagaraku,0.63,0.4
5333,cnd,33.49,17.64
5313,cnd,12.22,7.19
5865168,beautix,10.71,10.66
4958,runail,1.19,0.85
5335,runail,0.4,0.39
5666749,philips,3.43,2.97
5705002,irisk,3.33,2.08
5750301,ingarden,15.71,12.78
5761411,ingarden,2.86,2.84
5763416,ingarden,0.79,0.48
5774857,masura,15.54,13.8
5784982,severina,4.14,2.73
5809261,bpw.style,0.79,0.52
5809280,bpw.style,0.79,0.64
5810157,irisk,1.43,1.26
5833322,bpw.style,1.27,1.21
5833325,bpw.style,1.59,1.11
5833326,bpw.style,1.59,1.48
5833327,bpw.style,1.59,1.36
5833332,bpw.style,1.27,1.19
5840113,runail,3.17,2.81
5845196,masura,8.29,7.06
5870867,milv,1.59,1.08
5877597,bpw.style,0.79,0.4
5877603,bpw.style,1.27,0.83
5896457,milv,1.59,0.85
5773372,runail,2.62,2.04
5814831,runail,2.38,2.34
5815137,bluesky,3.97,3.51
5857332,runail,2.78,2.31
5896421,jessnail,28.41,23.92
8381,gehwol,15.08,11.07
5778931,f.o.x,17.46,13.63
3978,cnd,29.05,23.99
4743,orly,9.51,8.99
5212,cnd,2.78,1.46
5256,cnd,3.57,2.76
5550162,orly,11.33,9.13
5805751,cnd,16.03,10.95
5812925,kinetics,10.95,10.25
5815633,rosi,6.35,6.1
60181,runail,19.37,12.05
5854897,irisk,0.32,0.2
5759347,milv,3.49,3.06
5770040,kapous,2.81,2.31
5770031,kapous,2.81,2.18
5769917,kapous,3.65,2.08
5738762,kapous,5.22,4.62
5698326,estelare,2.78,1.51
5677456,estel,10.32,9.06
36406,balbcare,3.17,2.79
5803082,kapous,3.49,2.47
5769898,kapous,3.65,3.07
5812114,art-visage,3.65,3.31
5861411,elskin,2.08,1.17
4591,runail,5.95,4.47
5587658,roubloff,2.52,1.45
5700037,runail,0.4,0.2
5700038,runail,0.4,0.25
5700049,runail,0.4,0.23
5862564,roubloff,1.71,0.93
5877490,freedecor,2.38,1.63
5815774,beauty-free,3.95,3.25
5663027,runail,2.06,1.78
5809211,bpw.style,1.43,1.27
5809288,bpw.style,0.79,0.62
5833330,bpw.style,0.95,0.54
5839412,lovely,3.16,1.6
5851103,freedecor,1.11,0.71
5851104,freedecor,1.11,0.96
5851105,freedecor,1.11,0.85
5864736,bpw.style,1.59,1.09
5864737,bpw.style,1.59,1.42
5870838,milv,0.79,0.59
5873430,benovy,7.46,4.09
5885376,bpw.style,1.9,0.97
5650610,metzger,4.84,3.83
5692863,yoko,7.83,5.7
5700046,runail,0.4,0.26
5700854,irisk,4.13,2.38
5742926,yoko,21.78,16.71
5772306,grattol,4.76,3.66
5775410,lianail,6.33,4.97
5795387,ingarden,7.14,6.45
5807805,ingarden,4.44,2.41
5814042,grattol,10.32,5.35
5819231,ingarden,4.44,2.3
5819238,ingarden,4.44,3.2
5819256,ingarden,4.44,3.61
5830532,masura,1.73,1.21
5835920,lianail,5.54,3.11
5848406,freedecor,0.79,0.48
5848430,freedecor,0.79,0.58
5853695,masura,2.37,1.43
5859402,masura,2.37,2.28
5862295,freedecor,1.43,0.82
5900636,freedecor,0.79,0.47
5901661,freedecor,0.79,0.7
5906100,bpw.style,0.79,0.46
5906102,bpw.style,0.79,0.51
5906116,bpw.style,1.27,0.98
5906118,bpw.style,1.27,1.11
5561284,runail,0.44,0.28
5629194,milv,0.71,0.37
5774897,masura,1.73,1.61
5813061,masura,1.73,1.72
5830563,masura,1.73,0.9
5859407,masura,2.37,1.24
59892,runail,0.95,0.61
5798089,ingarden,3.76,2.58
5861766,emil,1.75,1.31
5894147,ingarden,3.65,2.1
30194,runail,0.38,0.19
5836343,pnb,6.33,3.28
5851607,irisk,1.75,1.26
5851608,irisk,1.75,1.42
5851611,irisk,1.75,1.09
5851612,irisk,1.75,1.36
5864739,bpw.style,1.59,1.46
5864740,bpw.style,1.59,1.41
5774331,runail,4.13,3.57
5774341,runail,6.75,5.92
5774348,runail,7.7,6.43
5812123,art-visage,4.29,3.45
5853235,runail,3.17,1.88
5864626,bpw.style,1.27,1.13
5261,runail,0.4,0.39
5689469,staleks,16.67,14.54
5846814,browxenna,12.54,9.42
5854596,polarus,22.6,20.42
5809865,grattol,6.27,4.81
5882399,zinger,2.37,2.09
5883100,ingarden,4.44,2.77
5622677,severina,3.16,2.86
5733776,haruyama,3.97,2.87
5747404,masura,6.33,4.75
5814066,grattol,2.3,2.1
3936,entity,10.95,7.9
5804462,bluesky,3.97,3.58
5898244,de.lux,1.27,1.21
38483,runail,64.29,44.95
4967,runail,2.41,1.28
5542,ingarden,2.38,1.65
5846404,lovely,2.37,2.3
6414,konad,4.29,2.94
6460,konad,4.29,2.33
6545,sophin,5.24,3.56
5689188,dizao,1.9,1.1
5857862,levrana,9.21,5.74
5886195,consly,5.87,3.09
5899967,kocostar,2.86,2.22
5776130,art-visage,1.98,1.37
5849879,irisk,7.86,5.65
5586372,inm,5.56,3.87
5809910,grattol,5.24,4.22
5812957,kinetics,6.19,5.32
5834973,oniq,4.76,4.59
40090,swarovski,2.06,1.33
5599831,swarovski,2.06,1.06
5697461,estel,7.94,4.34
5793703,irisk,2.22,2.05
5853713,runail,2.06,1.13
5678741,irisk,4.68,2.87
5760173,ingarden,21.43,13.14
5807859,irisk,1.27,1.24
5824803,domix,4.25,3.4
5835924,irisk,1.51,1
5837197,kamill,1.87,1.41
5838938,ingarden,4.44,4.11
5857670,artex,3.97,2.59
5900641,ingarden,4.44,2.23
5900643,ingarden,4.44,3.56
5707753,swarovski,5.56,4.48
5809911,grattol,5.24,2.74
5809912,grattol,5.24,3.63
5901616,freedecor,2.38,1.75
4895,runail,3.81,2.35
4901,runail,2.54,1.51
4969,runail,3.78,2.95
